英文名,中文名,字体名(.ttf/.otf),购买地址,样张
CFangSong HK Light,仿宋,CFangSongHK-Light,,http://www.monotype.com.hk/image/Font_HK_Samples/CFangSongHK-Light_Sample.png
CFangSong HKS Light,简仿宋,CFangSongHKS-Light,,http://www.monotype.com.hk/image/Font_HKS_Samples/CFangSongHKS-Light_Sample.png
CFangSong PRC Light,简仿宋,CFangSongPRC-Light,,http://www.monotype.com.hk/image/Font_PRC_Samples/CFangSongPRC-Light_Sample.png
CFangSong PRCT Light,仿宋,CFangSongPRCT-Light,,http://www.monotype.com.hk/image/Font_PRCT_Samples/CFangSongPRCT-Light_Sample.png
CGuLi HK Bold,古隸,CGuLiHK-Bold,,http://www.monotype.com.hk/image/Font_HK_Samples/CGuLiHK-Bold_Sample.png
CGuLi HKS Bold,简古隶,CGuLiHKS-Bold,,http://www.monotype.com.hk/image/Font_HKS_Samples/CGuLiHKS-Bold_Sample.png
CGuLi PRC Bold,简古隶,CGuLiPRC-Bold,,http://www.monotype.com.hk/image/Font_PRC_Samples/CGuLiPRC-Bold_Sample.png
CGuLi PRCT Bold,古隸,CGuLiPRCT-Bold,,http://www.monotype.com.hk/image/Font_PRCT_Samples/CGuLiPRCT-Bold_Sample.png
CGuYin HK Bold,古印體,CGuYinHK-Bold,,http://www.monotype.com.hk/image/Font_HK_Samples/CGuYinHK-Bold_Sample.png
CGuYin HKS Bold,简古印体,CGuYinHKS-Bold,,http://www.monotype.com.hk/image/Font_HKS_Samples/CGuYinHKS-Bold_Sample.png
CGuYin PRC Bold,简古印体,CGuYinPRC-Bold,,http://www.monotype.com.hk/image/Font_PRC_Samples/CGuYinPRC-Bold_Sample.png
CGuYin PRCT Bold,古印體,CGuYinPRCT-Bold,,http://www.monotype.com.hk/image/Font_PRCT_Samples/CGuYinPRCT-Bold_Sample.png
CHei HK UltraBold,超黑體,CHeiHK-UltraBold,,http://www.monotype.com.hk/image/Font_HK_Samples/CHeiHK-UltraBold_Sample.png
CHei HKS UltraBold,简超黑体,CHeiHKS-UltraBold,,http://www.monotype.com.hk/image/Font_HKS_Samples/CHeiHKS-UltraBold_Sample.png
CHei PRC UltraBold,简超黑体,CHeiPRC-UltraBold,,http://www.monotype.com.hk/image/Font_PRC_Samples/CHeiPRC-UltraBold_Sample.png
CHei PRCT UltraBold,超黑體,CHeiPRCT-UltraBold,,http://www.monotype.com.hk/image/Font_PRCT_Samples/CHeiPRCT-UltraBold_Sample.png
CHei2 HK Bold,正黑,CHei2HK-Bold,,http://www.monotype.com.hk/image/Font_HK_Samples/CHei2HK-Bold_Sample.png
CHei2 HK Xbold,大黑,CHei2HK-Xbold,,http://www.monotype.com.hk/image/Font_HK_Samples/CHei2HK-Xbold_Sample.png
CHei2 HKS Bold,简正黑,CHei2HKS-Bold,,http://www.monotype.com.hk/image/Font_HKS_Samples/CHei2HKS-Bold_Sample.png
CHei2 HKS Xbold,简大黑,CHei2HKS-Xbold,,http://www.monotype.com.hk/image/Font_HKS_Samples/CHei2HKS-Xbold_Sample.png
CHei2 PRC Bold,简正黑,CHei2PRC-Bold,,http://www.monotype.com.hk/image/Font_PRC_Samples/CHei2PRC-Bold_Sample.png
CHei2 PRC Xbold,简大黑,CHei2PRC-Xbold,,http://www.monotype.com.hk/image/Font_PRC_Samples/CHei2PRC-Xbold_Sample.png
CHei2 PRCT Bold,正黑,CHei2PRCT-Bold,,http://www.monotype.com.hk/image/Font_PRCT_Samples/CHei2PRCT-Bold_Sample.png
CHei2 PRCT Xbold,大黑,CHei2PRCT-Xbold,,http://www.monotype.com.hk/image/Font_PRCT_Samples/CHei2PRCT-Xbold_Sample.png
CHei3 HK Bold,板黑,CHei3HK-Bold,,http://www.monotype.com.hk/image/Font_HK_Samples/CHei3HK-Bold_Sample.png
CHei3 HKS Bold,简板黑,CHei3HKS-Bold,,http://www.monotype.com.hk/image/Font_HKS_Samples/CHei3HKS-Bold_Sample.png
CHei3 PRC Bold,简板黑,CHei3PRC-Bold,,http://www.monotype.com.hk/image/Font_PRC_Samples/CHei3PRC-Bold_Sample.png
CHei3 PRCT Bold,板黑,CHei3PRCT-Bold,,http://www.monotype.com.hk/image/Font_PRCT_Samples/CHei3PRCT-Bold_Sample.png
CJNgai HK Bold,綜藝體,CJNgaiHK-Bold,,http://www.monotype.com.hk/image/Font_HK_Samples/CJNgaiHK-Bold_Sample.png
CJNgai HKS Bold,简综艺体,CJNgaiHKS-Bold,,http://www.monotype.com.hk/image/Font_HKS_Samples/CJNgaiHKS-Bold_Sample.png
CJNgai PRC Bold,简综艺体,CJNgaiPRC-Bold,,http://www.monotype.com.hk/image/Font_PRC_Samples/CJNgaiPRC-Bold_Sample.png
CJNgai PRCT Bold,綜藝體,CJNgaiPRCT-Bold,,http://www.monotype.com.hk/image/Font_PRCT_Samples/CJNgaiPRCT-Bold_Sample.png
CKan HK Xbold,勘亭流,CKanHK-Xbold,,http://www.monotype.com.hk/image/Font_HK_Samples/CKanHK-Xbold_Sample.png
CKan HKS Xbold,简勘亭流,CKanHKS-Xbold,,http://www.monotype.com.hk/image/Font_HKS_Samples/CKanHKS-Xbold_Sample.png
CKan PRC Xbold,简勘亭流,CKanPRC-Xbold,,http://www.monotype.com.hk/image/Font_PRC_Samples/CKanPRC-Xbold_Sample.png
CKan PRCT Xbold,勘亭流,CKanPRCT-Xbold,,http://www.monotype.com.hk/image/Font_PRCT_Samples/CKanPRCT-Xbold_Sample.png
CNganKai HK Bold,顏楷,CNganKaiHK-Bold,,http://www.monotype.com.hk/image/Font_HK_Samples/CNganKaiHK-Bold_Sample.png
CNganKai HKS Bold,简颜楷,CNganKaiHKS-Bold,,http://www.monotype.com.hk/image/Font_HKS_Samples/CNganKaiHKS-Bold_Sample.png
CNganKai PRC Bold,简颜楷,CNganKaiPRC-Bold,,http://www.monotype.com.hk/image/Font_PRC_Samples/CNganKaiPRC-Bold_Sample.png
CNganKai PRCT Bold,顏楷,CNganKaiPRCT-Bold,,http://www.monotype.com.hk/image/Font_PRCT_Samples/CNganKaiPRCT-Bold_Sample.png
CO2Yuen HK XboldOutline,彩雲體,CO2YuenHK-XboldOutline,,http://www.monotype.com.hk/image/Font_HK_Samples/CO2YuenHK-XboldOutline_Sample.png
CO2Yuen HKS XboldOutline,简彩云体,CO2YuenHKS-XboldOutline,,http://www.monotype.com.hk/image/Font_HKS_Samples/CO2YuenHKS-XboldOutline_Sample.png
CO2Yuen PRC XboldOutline,简彩云体,CO2YuenPRC-XboldOutline,,http://www.monotype.com.hk/image/Font_PRC_Samples/CO2YuenPRC-XboldOutline_Sample.png
CO2Yuen PRCT XboldOutline,彩雲體,CO2YuenPRCT-XboldOutline,,http://www.monotype.com.hk/image/Font_PRCT_Samples/CO2YuenPRCT-XboldOutline_Sample.png
COHei PRC UltraBold,简彩蝶黑,COHeiPRC-UltraBold,,http://www.monotype.com.hk/image/Font_PRC_Samples/COHeiPRC-UltraBold_Sample.png
COYuen HK Xbold,彩蝶圓,COYuenHK-Xbold,,http://www.monotype.com.hk/image/Font_HK_Samples/COYuenHK-Xbold_Sample.png
COYuen HK XboldOutline,彩蝶通圓,COYuenHK-XboldOutline,,http://www.monotype.com.hk/image/Font_HK_Samples/COYuenHK-XboldOutline_Sample.png
COYuen HKS Xbold,简彩蝶圆,COYuenHKS-Xbold,,http://www.monotype.com.hk/image/Font_HKS_Samples/COYuenHKS-Xbold_Sample.png
COYuen HKS XboldOutline,简彩蝶通圆,COYuenHKS-XboldOutline,,http://www.monotype.com.hk/image/Font_HKS_Samples/COYuenHKS-XboldOutline_Sample.png
COYuen PRC Xbold,简彩蝶圆,COYuenPRC-Xbold,,http://www.monotype.com.hk/image/Font_PRC_Samples/COYuenPRC-Xbold_Sample.png
COYuen PRC XboldOutline,简彩蝶通圆,COYuenPRC-XboldOutline,,http://www.monotype.com.hk/image/Font_PRC_Samples/COYuenPRC-XboldOutline_Sample.png
COYuen PRCT Xbold,彩蝶圓,COYuenPRCT-Xbold,,http://www.monotype.com.hk/image/Font_PRCT_Samples/COYuenPRCT-Xbold_Sample.png
COYuen PRCT XboldOutline,彩蝶通圓,COYuenPRCT-XboldOutline,,http://www.monotype.com.hk/image/Font_PRCT_Samples/COYuenPRCT-XboldOutline_Sample.png
